id_bien;num_voie;voie;code_postal;surface_totale;type_local;total_piece;id_codedep_codecom
1;190 A;RUE CENTRALE;1370;50.42;Appartement;2;01350
2;347 ;RUE DU CHATEAU;1170;48.22;Appartement;3;01103
3;58 ;AV DU MONT BLANC;1220;130.8;Appartement;6;01143
4;140 ;RUE DE L'ABBE JOLIVET;1630;109.22;Maison;5;01288
5;39 ;RUE BUFFON;1200;108.65;Appartement;4;01033
6;28 ;AV JEAN FALCONNIER;1350;31.65;Appartement;2;01138
7;8 ;RUE DE GENEVE;1630;52.58;Appartement;2;01354
8;2 ;RUE DU RECULET;1630;58.71;Appartement;2;01354
9;1403 ;RUE JEAN DE GINGINS;1220;93.23;Maison;4;01143
10;226 ;ALL DES CAPUCINES;1630;117;Maison;5;01354
11;276 ;RTE DE POUGNY;1630;35.6;Appartement;2;01288
12;79 ;CRS DE VERDUN;1100;138.03;Appartement;5;01283
13;77 B;RUE DU COMMERCE;1130;42;Appartement;2;01357
14;240 ;RUE DE PRE BAILLY;1170;45.36;Appartement;2;01173
15;3 ;RUE TURENNE;1200;82.6;Appartement;4;01033
16;44 ;ALL DU SQUARE DE LAUSANNE;1220;88.11;Appartement;4;01143
17;59 ;RUE ALEXANDRE BERARD;1500;164.87;Appartement;6;01004
18;282 ;CHE DES LONGES RAYES;1170;42.2;Appartement;2;01071
19;54 ;GR GRANDE RUE;1150;68.11;Appartement;3;01396
20;1 ;RUE DE GEX;1210;82.59;Appartement;3;01160
21;17 ;LOT LES JARDINS DE CHEVRY;1170;30.23;Appartement;1;01103
22;329 ;RUE DES CARPIERES;1170;24.8;Appartement;1;01399
23;369 ;AV CHARLES DE GAULLE;1150;52.6;Appartement;2;01202
24;154 ;RUE SUR LA VIGNETTE;1130;91.69;Appartement;3;01300
25;6 ;RUE DES USINIERS;1170;45.54;Appartement;1;01173
26;2 ;RUE DU JURA;1630;84.24;Appartement;3;01354
27;54 ;RUE MARCEL DEMIA;1500;68.23;Appartement;3;01004
28;269 ;CHE DE CHARIGNIN;1300;62.03;Appartement;3;01034
29;322 ;RUE DE BRETIGNY;1210;112.93;Maison;4;01281
30;132 ;ALL DES HETRES;1630;131.91;Appartement;4;01354
31;80 ;RUE DE MEYRIN;1210;63.58;Appartement;3;01160
32;4 ;RUE DE LA MAIRIE;1350;35.86;Appartement;3;01138
33;79 ;GR GRANDE RUE DE BULLIEZ;1150;70.09;Appartement;3;01202
34;8 ;RUE DE LA BIENNE;1590;200;Appartement;4;01148
35;29 ;RUE REINE CLOTILDE;1500;54.84;Appartement;2;01004
36;3 ;RUE STE MARIE;1300;72.75;Appartement;4;01034
37;956 ;RTE DE BOURG;1150;94.09;Maison;2;01202
